date,direction,start_time,end_time,duration_s,num_bins,peak_time,peak_vx,peak_abs_vx,mean_vx,mean_vy,mean_vz
2017-01-05,tailward_fastflow_candidate,2017-01-05 04:38:05,2017-01-05 04:38:25,25.0,5,2017-01-05 04:38:10,-425.4104309082031,425.4104309082031,-364.53009338378905,1.8691506385803223,-21.222915649414062
2017-01-05,tailward_fastflow_candidate,2017-01-05 04:40:15,2017-01-05 04:44:15,245.0,49,2017-01-05 04:42:45,-481.91278076171875,481.91278076171875,-425.51626711475603,-7.075169558427771,-3.566034579763607
2017-01-05,tailward_fastflow_candidate,2017-01-05 04:46:50,2017-01-05 04:48:00,75.0,15,2017-01-05 04:47:55,-468.61871337890625,468.61871337890625,-388.80467834472654,-5.305188719431559,-32.17595653533935
2017-01-05,tailward_fastflow_candidate,2017-01-05 04:48:15,2017-01-05 04:48:25,15.0,3,2017-01-05 04:48:20,-387.1785888671875,387.1785888671875,-344.7166035970052,72.24906794230144,-55.363599141438804
2017-01-05,tailward_fastflow_candidate,2017-01-05 04:48:40,2017-01-05 04:49:05,30.0,6,2017-01-05 04:48:40,-394.29937744140625,394.29937744140625,-366.26093037923175,31.374075432618458,10.368331591288248
2017-01-05,tailward_fastflow_candidate,2017-01-05 04:56:15,2017-01-05 04:56:20,10.0,2,2017-01-05 04:56:20,-394.9115295410156,394.9115295410156,-351.68231201171875,17.112628936767578,54.059481620788574
2017-01-05,tailward_fastflow_candidate,2017-01-05 04:57:35,2017-01-05 04:58:00,30.0,6,2017-01-05 04:57:50,-447.48297119140625,447.48297119140625,-408.0009587605794,-38.046565890312195,31.229464213053387
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:01:50,2017-01-05 05:17:15,930.0,186,2017-01-05 05:04:20,-572.5296630859375,572.5296630859375,-497.3920146983157,-12.630467522368637,-7.7017915787235385
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:18:10,2017-01-05 05:19:30,85.0,17,2017-01-05 05:18:50,-480.8773498535156,480.8773498535156,-438.0396827248966,-24.197286185096292,-21.208799306084128
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:19:40,2017-01-05 05:20:15,40.0,8,2017-01-05 05:19:55,-491.41583251953125,491.41583251953125,-400.9324321746826,-21.170397758483887,-3.06592059135437
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:20:25,2017-01-05 05:31:55,695.0,139,2017-01-05 05:21:35,-547.453125,547.453125,-479.116794723401,-32.84538129979758,-25.03433862521494
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:32:05,2017-01-05 05:32:10,10.0,2,2017-01-05 05:32:05,-335.3883361816406,335.3883361816406,-326.4059753417969,-103.02541732788086,-48.88178539276123
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:32:50,2017-01-05 05:33:10,25.0,5,2017-01-05 05:33:05,-447.5311279296875,447.5311279296875,-371.20513916015625,-43.724885910749435,-33.37858066558838
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:33:20,2017-01-05 05:33:50,35.0,7,2017-01-05 05:33:20,-448.79266357421875,448.79266357421875,-374.9231262207031,-9.22389098576137,-85.65088898794991
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:35:30,2017-01-05 05:35:35,10.0,2,2017-01-05 05:35:35,-408.2408752441406,408.2408752441406,-379.36151123046875,-45.75339317321777,-68.42652130126953
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:41:40,2017-01-05 05:43:20,105.0,21,2017-01-05 05:43:20,-493.80908203125,493.80908203125,-431.9444558279855,-26.30684148697626,-46.48730791182745
2017-01-05,tailward_fastflow_candidate,2017-01-05 05:43:50,2017-01-05 05:59:35,950.0,190,2017-01-05 05:46:10,-511.4030456542969,511.4030456542969,-447.6990728277909,-24.371573071064134,-29.165025758743287
2017-01-05,tailward_fastflow_candidate,2017-01-05 06:00:20,2017-01-05 06:10:25,610.0,122,2017-01-05 06:08:05,-505.1050720214844,505.1050720214844,-434.49566237652886,-49.7855555795927,-56.37063233578792
2017-01-05,tailward_fastflow_candidate,2017-01-05 06:10:35,2017-01-05 06:10:50,20.0,4,2017-01-05 06:10:50,-377.00408935546875,377.00408935546875,-346.3817329406738,7.301770448684692,-115.7389030456543
2017-01-05,tailward_fastflow_candidate,2017-01-05 06:11:30,2017-01-05 06:12:05,40.0,8,2017-01-05 06:11:40,-462.3263854980469,462.3263854980469,-413.2821273803711,-78.346018075943,-7.23110556602478
2017-01-05,tailward_fastflow_candidate,2017-01-05 06:12:45,2017-01-05 06:13:40,60.0,12,2017-01-05 06:13:15,-482.8634033203125,482.8634033203125,-425.7204195658366,-11.524720708529154,29.43839395046234
2017-01-05,tailward_fastflow_candidate,2017-01-05 06:14:10,2017-01-05 06:15:00,55.0,11,2017-01-05 06:15:00,-424.5803527832031,424.5803527832031,-377.1705974232067,-61.71346048875289,9.620357860218395
2017-01-05,tailward_fastflow_candidate,2017-01-05 06:19:25,2017-01-05 06:28:05,525.0,105,2017-01-05 06:24:30,-512.7538452148438,512.7538452148438,-457.30196489606584,-28.866993742613566,-17.41711468469529
